student_id,sex,age,family_size,parent_status,guardian_education,guardian,study_time,school_support,family_support,extra_paid_classes,higher_ed,romantic_relationship,family_relationship,weekday_alcohol,weekend_alcohol,absences,grade_1,grade_2,final_grade
1,F,18,Greater than 3,Apart,higher education,mother,2 to 5 hours,yes,no,no,yes,no,4,1,1,6,5,6,6
2,F,17,Greater than 3,Living together,primary education (4th grade),father,2 to 5 hours,no,yes,no,yes,no,5,1,1,4,5,5,6
3,F,15,Less than or equal to 3,Living together,primary education (4th grade),mother,2 to 5 hours,yes,no,yes,yes,no,4,2,3,10,7,8,10
4,F,15,Greater than 3,Living together,primary education (4th grade),mother,5 to 10 hours,no,yes,yes,yes,yes,3,1,1,2,15,14,15
5,F,16,Greater than 3,Living together,secondary education,father,2 to 5 hours,no,yes,yes,yes,no,4,1,2,4,6,10,10
6,M,16,Less than or equal to 3,Living together,higher education,mother,2 to 5 hours,no,yes,yes,yes,no,5,1,2,10,15,15,15
7,M,16,Less than or equal to 3,Living together,grade 5th to 9th,mother,2 to 5 hours,no,no,no,yes,no,4,1,1,0,12,12,11
8,F,17,Greater than 3,Apart,higher education,mother,2 to 5 hours,yes,yes,no,yes,no,4,1,1,6,6,5,6
9,M,15,Less than or equal to 3,Apart,secondary education,mother,2 to 5 hours,no,yes,yes,yes,no,4,1,1,0,16,18,19
10,M,15,Greater than 3,Living together,secondary education,mother,2 to 5 hours,no,yes,yes,yes,no,5,1,1,0,14,15,15
11,F,15,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,yes,yes,yes,no,3,1,2,0,10,8,9
12,F,15,Greater than 3,Living together,primary education (4th grade),father,5 to 10 hours,no,yes,no,yes,no,5,1,1,4,10,12,12
13,M,15,Less than or equal to 3,Living together,higher education,father,<2 hours,no,yes,yes,yes,no,4,1,3,2,14,14,14
14,M,15,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,yes,yes,yes,no,5,1,2,2,10,10,11
15,M,15,Greater than 3,Apart,higher education,other,5 to 10 hours,no,yes,no,yes,yes,4,1,1,0,14,16,16
16,F,16,Greater than 3,Living together,higher education,mother,<2 hours,no,yes,no,yes,no,4,1,2,4,14,14,14
17,F,16,Greater than 3,Living together,higher education,mother,5 to 10 hours,no,yes,yes,yes,no,3,1,2,6,13,14,14
18,F,16,Greater than 3,Living together,secondary education,mother,2 to 5 hours,yes,yes,no,yes,no,5,1,1,4,8,10,10
19,M,17,Greater than 3,Living together,secondary education,mother,<2 hours,no,yes,no,yes,no,5,2,4,16,6,5,5
20,M,16,Less than or equal to 3,Living together,secondary education,father,<2 hours,no,no,yes,yes,no,3,1,3,4,8,10,10
21,M,15,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,no,no,yes,no,4,1,1,0,13,14,15
22,M,15,Greater than 3,Living together,higher education,father,<2 hours,no,yes,yes,yes,no,5,1,1,0,12,15,15
23,M,16,Less than or equal to 3,Living together,higher education,mother,2 to 5 hours,no,no,no,yes,no,4,1,3,2,15,15,16
24,M,16,Less than or equal to 3,Living together,grade 5th to 9th,mother,2 to 5 hours,no,yes,no,yes,no,5,2,4,0,13,13,12
25,F,15,Greater than 3,Living together,grade 5th to 9th,mother,5 to 10 hours,yes,yes,yes,yes,no,4,1,1,2,10,9,8
26,F,16,Greater than 3,Living together,grade 5th to 9th,mother,<2 hours,no,yes,yes,yes,no,1,1,3,14,6,9,8
27,M,15,Greater than 3,Living together,grade 5th to 9th,mother,<2 hours,no,yes,yes,yes,no,4,1,2,2,12,12,11
28,M,15,Greater than 3,Living together,higher education,mother,<2 hours,no,no,yes,yes,no,2,2,4,4,15,16,15
29,M,16,Less than or equal to 3,Apart,secondary education,mother,2 to 5 hours,yes,yes,no,yes,no,5,1,1,4,11,11,11
30,M,16,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,yes,yes,yes,yes,4,5,5,16,10,12,11
31,M,15,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,yes,yes,yes,no,5,3,4,0,9,11,12
32,M,15,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,yes,no,yes,no,4,1,1,0,17,16,17
33,M,15,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,yes,no,yes,yes,4,1,1,0,17,16,16
34,M,15,Less than or equal to 3,Living together,secondary education,mother,2 to 5 hours,no,no,no,yes,no,5,1,1,0,8,10,12
35,M,16,Greater than 3,Living together,secondary education,mother,<2 hours,no,yes,yes,yes,no,5,1,1,0,12,14,15
36,F,15,Greater than 3,Living together,secondary education,father,<2 hours,no,yes,no,yes,no,3,1,1,0,8,7,6
37,M,15,Less than or equal to 3,Living together,higher education,mother,5 to 10 hours,no,yes,no,yes,no,5,1,1,2,15,16,18
38,M,16,Greater than 3,Apart,higher education,mother,5 to 10 hours,no,yes,no,yes,yes,2,1,1,7,15,16,15
